,Zone,km_clusters
1,Afghanistan,2
108,Afrique du Sud,0
2,Albanie,1
3,Algérie,0
4,Angola,2
104,Arabie saoudite,1
5,Argentine,1
0,Arménie,0
6,Australie,1
25,Azerbaïdjan,0
7,Bahamas,1
8,Barbade,1
131,Belgique,1
9,Bolivie (État plurinational de),0
40,Bosnie-Herzégovine,0
10,Botswana,2
11,Brésil,1
12,Bulgarie,0
29,Bélarus,1
26,Bénin,2
16,Cabo Verde,2
64,Cambodge,3
14,Cameroun,3
15,Canada,1
20,Chili,1
50,Chine - RAS de Hong-Kong,1
73,Chine - RAS de Macao,1
24,Chypre,1
21,Colombie,0
22,Congo,2
23,Costa Rica,1
52,Croatie,1
57,Côte d'Ivoire,2
27,Danemark,1
32,El Salvador,0
33,Estonie,1
111,Eswatini,2
34,Fidji,0
35,Finlande,1
36,France,1
101,Fédération de Russie,1
38,Gabon,2
39,Gambie,2
41,Ghana,2
44,Grenade,0
43,Grèce,1
45,Guatemala,2
46,Guinée,2
97,Guinée-Bissau,2
47,Guyana,0
37,Géorgie,0
48,Haïti,2
49,Honduras,0
51,Hongrie,1
54,Indonésie,0
55,Iran (République islamique d'),0
56,Iraq,2
53,Islande,1
59,Jamaïque,0
60,Japon,1
61,Jordanie,2
58,Kazakhstan,0
63,Kenya,2
62,Kirghizistan,0
42,Kiribati,0
66,Koweït,1
70,Lesotho,2
67,Lettonie,1
69,Liban,0
71,Libéria,2
72,Lituanie,1
83,Macédoine du Nord,1
74,Malaisie,1
75,Mali,2
79,Maroc,0
77,Maurice,1
76,Mauritanie,2
78,Mexique,1
133,Monténégro,1
80,Mozambique,2
13,Myanmar,3
82,Namibie,2
86,Nicaragua,2
87,Niger,2
88,Nigéria,3
89,Norvège,1
85,Nouvelle-Zélande,1
119,Oman,2
127,Ouzbékistan,0
90,Pakistan,0
91,Panama,0
93,Paraguay,0
95,Philippines,0
96,Pologne,1
94,Pérou,0
100,Roumanie,1
123,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,1
17,République centrafricaine,2
65,République de Corée,1
81,République de Moldova,0
28,République dominicaine,0
68,République démocratique populaire lao,2
115,République-Unie de Tanzanie,2
102,Sainte-Lucie,1
103,Sao Tomé-et-Principe,2
132,Serbie,0
105,Sierra Leone,2
107,Slovaquie,0
106,Slovénie,1
134,Soudan,2
18,Sri Lanka,0
113,Suisse,1
109,Suriname,0
112,Suède,1
110,Tadjikistan,2
19,Tchad,2
92,Tchéquie,1
116,Thaïlande,0
98,Timor-Leste,2
117,Togo,2
118,Trinité-et-Tobago,1
120,Tunisie,0
114,Turkménistan,0
121,Turquie,3
124,Ukraine,1
126,Uruguay,1
84,Vanuatu,2
128,Viet Nam,0
130,Zambie,2
99,Zimbabwe,2
31,Égypte,0
122,Émirats arabes unis,1
30,Équateur,2
125,États-Unis d'Amérique,4
129,Éthiopie,3
